[2026-05-20 16:31:37.043973] UDP_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=32
[2026-05-20 16:31:39.789246] ICMP_SCAN | SRC=172.20.10.2 TARGETS=5
[2026-05-20 16:31:42.854950] UDP_SCAN | SRC=172.217.170.174 DST=172.20.10.2 PORTS=20
[2026-05-20 16:39:25.047494] PORT_SCAN | SRC=172.217.170.170 DST=172.20.10.2 PORTS=20
[2026-05-20 16:39:32.611871] ZERO_DAY | SRC=172.217.170.195 ANOMALY max_z=6.97 [unique_dports=5.0(z=5.04), avg_pkt_size=831.5(z=6.29), dst_entropy=2.3(z=6.97)]
[2026-05-20 16:39:33.687946] ZERO_DAY | SRC=172.20.10.2 ANOMALY max_z=14.67 [pkt_count=150.0(z=11.83), byte_count=46729.0(z=11.5), unique_dsts=22.0(z=14.67), unique_dports=4.0(z=3.98)]
[2026-05-20 16:39:42.617640] ZERO_DAY | SRC=57.144.139.32 ANOMALY max_z=6.97 [unique_dports=5.0(z=5.04), avg_pkt_size=488.2(z=3.58), dst_entropy=2.3(z=6.97)]
[2026-05-20 16:39:47.162550] PORT_SCAN | SRC=172.217.170.170 DST=172.20.10.2 PORTS=22
[2026-05-20 16:39:52.631404] ZERO_DAY | SRC=172.217.170.170 ANOMALY max_z=6.97 [unique_dports=5.0(z=5.04), avg_pkt_size=745.3(z=5.61), dst_entropy=2.3(z=6.97)]
[2026-05-20 16:39:52.897606] PORT_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=20
[2026-05-20 16:39:59.866038] PORT_SCAN | SRC=172.217.170.170 DST=172.20.10.2 PORTS=23
[2026-05-20 16:40:03.732240] ZERO_DAY | SRC=172.20.10.2 ANOMALY max_z=17.97 [pkt_count=191.0(z=15.09), byte_count=35238.0(z=8.65), unique_dsts=21.0(z=14.0), unique_dports=4.0(z=3.98)]
[2026-05-20 16:40:04.676857] PORT_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=24
[2026-05-20 16:40:12.651588] ZERO_DAY | SRC=172.217.170.195 ANOMALY max_z=7.05 [unique_dports=5.0(z=5.04), avg_pkt_size=926.9(z=7.05), dst_entropy=2.3(z=6.97)]
[2026-05-20 16:40:12.653576] ZERO_DAY | SRC=57.144.138.145 ANOMALY max_z=5.98 [unique_dports=4.0(z=3.98), avg_pkt_size=638.6(z=4.77), dst_entropy=2.0(z=5.98)]
[2026-05-20 16:40:14.090034] PORT_SCAN | SRC=172.217.170.170 DST=172.20.10.2 PORTS=26
[2026-05-20 16:40:15.633049] PORT_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=25
[2026-05-20 16:40:26.791348] PORT_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=28
[2026-05-20 16:40:33.923258] ZERO_DAY | SRC=172.20.10.2 ANOMALY max_z=14.0 [pkt_count=168.0(z=13.26), byte_count=44141.0(z=10.86), unique_dsts=21.0(z=14.0), unique_dports=5.0(z=5.04)]
[2026-05-20 16:40:37.247138] PORT_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=33
